地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2023/06/16,21:24:09.6,千葉県北東部,35°42.3′N,140°42.7′E,49 km,4.9,震度４
2023/06/11,18:54:44.6,苫小牧沖,42°33.5′N,141°54.9′E,136 km,6.2,震度５弱
2023/06/01,11:28:28.7,トカラ列島近海,29°56.2′N,130°00.1′E,11 km,4.3,震度４
2023/05/30,17:49:16.3,能登半島沖,37°30.6′N,137°23.4′E,4 km,4.6,震度４
2023/05/27,22:52:12.3,トカラ列島近海,29°56.6′N,129°58.2′E,12 km,4.6,震度４
2023/05/26,19:03:23.9,千葉県東方沖,35°38.4′N,140°40.3′E,50 km,6.2,震度５弱
2023/05/22,19:46:26.1,新島・神津島近海,34°27.9′N,139°14.6′E,11 km,5.1,震度４
2023/05/22,16:42:41.2,新島・神津島近海,34°28.5′N,139°13.0′E,11 km,5.3,震度５弱
2023/05/19,06:56:27.2,豊後水道,33°14.3′N,132°13.3′E,46 km,4.5,震度４
2023/05/13,16:10:27.7,トカラ列島近海,29°55.6′N,130°00.9′E,12 km,5.1,震度５弱
2023/05/11,18:52:44.5,日高地方東部,42°22.4′N,143°00.4′E,55 km,5.5,震度４
2023/05/11,12:11:04.9,トカラ列島近海,29°55.2′N,130°02.5′E,13 km,4.3,震度４
2023/05/11,04:16:41.9,千葉県南部,35°10.2′N,140°11.1′E,40 km,5.2,震度５強
2023/05/10,07:14:39.0,能登半島沖,37°36.0′N,137°17.1′E,12 km,4.9,震度４
2023/05/09,05:14:19.4,石川県能登地方,37°31.2′N,137°18.6′E,15 km,4.7,震度４
2023/05/06,02:47:16.2,青森県東方沖,41°28.4′N,142°05.1′E,56 km,5.7,震度４
2023/05/05,23:18:50.5,石川県能登地方,37°30.2′N,137°12.8′E,14 km,4.3,震度４
2023/05/05,21:58:04.1,能登半島沖,37°31.5′N,137°14.1′E,14 km,5.9,震度５強
2023/05/05,14:53:37.2,能登半島沖,37°31.5′N,137°13.3′E,13 km,5.0,震度４
2023/05/05,14:42:04.1,能登半島沖,37°32.3′N,137°18.2′E,12 km,6.5,震度６強
2023/04/21,16:19:52.0,父島近海,26°59.0′N,142°15.1′E,84 km,不明,震度４
2023/04/17,02:25:07.4,福島県沖,37°10.7′N,141°23.9′E,46 km,4.8,震度４
2023/03/28,18:18:28.9,青森県東方沖,41°09.5′N,142°50.9′E,28 km,6.2,震度４
2023/03/27,00:04:20.7,宮城県沖,38°18.4′N,141°36.9′E,60 km,5.3,震度４
2023/03/24,16:25:35.0,茨城県北部,36°25.1′N,140°18.3′E,83 km,4.7,震度４
2023/03/11,05:12:39.8,日高地方東部,42°11.9′N,142°57.5′E,49 km,4.8,震度４
2023/02/25,22:27:43.6,釧路沖,42°45.3′N,145°04.5′E,63 km,6.0,震度５弱
2023/01/25,10:00:50.8,福島県沖,37°35.4′N,141°34.8′E,55 km,5.1,震度４
2023/01/06,13:44:04.2,石川県能登地方,37°30.3′N,137°16.4′E,13 km,4.5,震度４
2022/12/19,00:02:03.9,千葉県北東部,35°22.7′N,140°20.7′E,27 km,4.1,震度４
2022/12/18,03:06:03.2,日向灘,31°47.3′N,131°38.0′E,34 km,5.4,震度４
2022/12/13,23:25:20.3,奄美大島近海,27°36.0′N,129°24.8′E,37 km,6.0,震度４
2022/11/14,22:27:58.8,石川県能登地方,37°31.1′N,137°15.5′E,12 km,4.2,震度４
2022/11/14,17:08:25.4,三重県南東沖,33°50.4′N,137°25.4′E,362 km,6.4,震度４
2022/11/09,17:40:12.5,茨城県南部,36°11.1′N,140°01.6′E,51 km,4.9,震度５強
2022/10/21,15:19:46.3,福島県沖,37°23.9′N,141°18.3′E,29 km,5.0,震度５弱
2022/10/02,00:02:32.8,大隅半島東方沖,31°18.7′N,131°31.3′E,29 km,5.9,震度５弱
2022/09/30,14:58:36.7,茨城県南部,36°04.7′N,139°51.8′E,47 km,4.4,震度４
2022/09/20,09:06:32.2,岩手県沖,40°04.2′N,142°05.6′E,48 km,4.4,震度４
2022/08/26,08:48:30.1,天草灘,32°02.4′N,129°59.3′E,12 km,4.5,震度４
2022/08/18,14:46:10.4,福島県沖,37°36.1′N,141°35.1′E,56 km,5.2,震度４
2022/08/11,02:14:57.0,上川地方北部,44°52.0′N,142°07.2′E,6 km,4.6,震度４
2022/08/11,00:53:00.1,上川地方北部,44°50.9′N,142°06.7′E,5 km,5.4,震度５強
2022/08/11,00:35:20.0,上川地方北部,44°51.2′N,142°06.8′E,2 km,5.2,震度５弱
2022/08/04,09:48:18.6,福島県沖,37°36.7′N,141°37.1′E,57 km,5.6,震度４
2022/08/04,01:41:48.1,宗谷地方北部,45°02.2′N,141°52.2′E,7 km,4.1,震度４
2022/07/22,12:01:57.3,青森県三八上北地方,40°33.0′N,141°25.0′E,86 km,5.3,震度４
2022/07/06,05:10:24.9,宮城県沖,38°24.7′N,141°57.2′E,63 km,5.4,震度４
2022/06/26,21:44:48.4,熊本県熊本地方,32°32.4′N,130°41.1′E,9 km,4.7,震度５弱
2022/06/20,14:50:13.9,石川県能登地方,37°31.5′N,137°18.8′E,14 km,4.3,震度４
2022/06/20,10:31:34.4,石川県能登地方,37°31.3′N,137°19.3′E,14 km,5.0,震度５強
2022/06/20,09:18:26.7,宗谷地方北部,45°03.1′N,141°51.3′E,10 km,4.4,震度４
2022/06/19,15:08:07.5,石川県能登地方,37°30.9′N,137°16.5′E,13 km,5.4,震度６弱
2022/06/17,00:51:25.7,徳島県南部,33°54.7′N,134°35.3′E,45 km,4.9,震度４
2022/05/29,15:55:22.5,茨城県沖,36°14.8′N,140°58.5′E,44 km,5.3,震度４
2022/05/22,12:24:11.3,茨城県沖,36°46.4′N,141°24.2′E,5 km,6.0,震度５弱
2022/05/05,18:42:02.1,茨城県南部,36°08.4′N,139°50.6′E,52 km,4.8,震度４
2022/05/02,22:21:03.1,京都府南部,35°02.7′N,135°34.0′E,13 km,4.4,震度４
2022/04/19,08:16:00.3,茨城県北部,36°52.6′N,140°20.8′E,93 km,5.4,震度５弱
2022/04/08,22:04:57.5,石川県能登地方,37°30.6′N,137°16.9′E,13 km,4.2,震度４
2022/04/07,09:30:35.0,愛知県東部,34°53.7′N,137°29.9′E,11 km,4.7,震度４
2022/04/06,17:14:20.6,和歌山県北部,34°00.9′N,135°12.9′E,6 km,3.6,震度４
2022/04/06,00:03:53.9,福島県沖,37°48.0′N,141°34.9′E,53 km,5.2,震度４
2022/04/04,19:29:03.9,福島県沖,37°20.6′N,141°34.5′E,44 km,5.4,震度４
2022/04/04,10:26:24.5,能登半島沖,37°31.0′N,137°13.5′E,14 km,4.3,震度４
2022/04/02,16:27:15.3,茨城県北部,36°27.6′N,140°34.7′E,56 km,4.4,震度４
2022/03/31,23:34:10.4,京都府南部,35°03.0′N,135°33.5′E,13 km,4.4,震度４
2022/03/31,20:52:13.6,東京湾,35°37.3′N,140°01.9′E,73 km,4.7,震度４
2022/03/30,00:18:16.0,岩手県沖,40°00.2′N,141°58.4′E,17 km,4.9,震度４
2022/03/27,08:15:31.8,日高地方東部,42°19.1′N,143°03.6′E,53 km,5.1,震度４
2022/03/25,12:08:16.2,福島県沖,37°32.1′N,141°22.4′E,52 km,5.2,震度４
2022/03/23,09:23:56.5,石川県能登地方,37°30.9′N,137°17.9′E,14 km,4.3,震度４
2022/03/18,23:25:16.3,岩手県沖,39°59.4′N,142°00.2′E,18 km,5.6,震度５強
2022/03/17,00:52:29.8,福島県沖,37°47.6′N,141°42.8′E,57 km,5.5,震度４
2022/03/16,23:36:32.6,福島県沖,37°41.8′N,141°37.3′E,57 km,7.4,震度６強
2022/03/16,23:34:27.0,福島県沖,37°40.8′N,141°36.3′E,57 km,6.1,震度５弱
2022/03/08,01:58:50.3,能登半島沖,37°31.4′N,137°14.2′E,14 km,4.8,震度４
2022/02/18,11:55:06.3,宮城県沖,38°10.4′N,141°42.8′E,52 km,5.3,震度４
2022/01/22,01:08:37.5,日向灘,32°42.9′N,132°04.3′E,45 km,6.6,震度５強
2022/01/04,06:08:51.5,父島近海,27°03.9′N,142°06.8′E,77 km,6.1,震度５強
2021/12/12,12:30:58.7,茨城県南部,36°08.0′N,139°51.1′E,50 km,5.0,震度４
2021/12/09,11:05:08.0,トカラ列島近海,29°20.5′N,129°27.0′E,14 km,6.1,震度５強
2021/12/08,22:44:18.8,トカラ列島近海,29°20.0′N,129°25.5′E,20 km,4.0,震度４
2021/12/05,11:14:24.9,トカラ列島近海,29°16.2′N,129°19.2′E,19 km,4.9,震度４
2021/12/03,09:28:28.9,紀伊水道,33°48.0′N,135°08.8′E,18 km,5.4,震度５弱
2021/12/03,06:37:48.5,山梨県東部・富士五湖,35°33.2′N,138°59.4′E,19 km,4.8,震度５弱
2021/12/03,02:17:58.6,山梨県東部・富士五湖,35°31.6′N,138°58.7′E,21 km,4.1,震度４
2021/12/02,01:58:38.8,茨城県南部,36°13.0′N,139°59.4′E,65 km,5.1,震度４
2021/11/09,01:14:57.2,福島県中通り,37°03.7′N,140°35.0′E,6 km,4.9,震度４
2021/11/01,06:14:46.4,茨城県北部,36°27.6′N,140°36.7′E,57 km,5.3,震度４
2021/10/28,09:55:29.3,茨城県南部,36°03.8′N,139°54.5′E,45 km,4.5,震度４
2021/10/15,07:57:41.3,和歌山県北部,34°01.4′N,135°14.2′E,5 km,3.3,震度４
2021/10/07,22:41:23.0,千葉県北西部,35°35.4′N,140°06.2′E,75 km,5.9,震度５強
2021/10/06,17:12:55.3,大隅半島東方沖,31°14.7′N,131°28.8′E,43 km,5.4,震度４
2021/10/06,02:46:02.3,岩手県沖,40°00.4′N,142°15.2′E,56 km,5.9,震度５強
2021/09/19,17:18:30.4,岐阜県飛騨地方,36°20.7′N,137°37.4′E,0 km,5.3,震度４
2021/09/16,18:42:30.2,石川県能登地方,37°30.3′N,137°18.0′E,13 km,5.1,震度５弱
2021/08/22,11:24:35.4,福島県沖,37°36.4′N,141°38.2′E,60 km,5.1,震度４
2021/08/18,01:31:01.9,広島県北部,35°03.5′N,133°02.5′E,6 km,4.3,震度４
2021/08/16,05:03:13.5,滋賀県北部,35°27.0′N,136°20.0′E,13 km,4.6,震度４
2021/08/02,09:37:26.1,広島県北部,35°03.7′N,133°02.7′E,6 km,4.4,震度４
2021/07/27,05:19:21.1,福島県沖,37°20.3′N,141°20.5′E,81 km,4.5,震度４
2021/07/26,11:16:16.2,青森県東方沖,41°28.7′N,142°08.2′E,52 km,5.2,震度４
2021/07/17,20:50:00.7,伊予灘,33°38.3′N,131°51.3′E,76 km,5.1,震度４
2021/07/16,13:19:56.9,八丈島近海,33°16.2′N,139°28.8′E,16 km,5.4,震度４
2021/07/11,09:16:40.7,石川県能登地方,37°30.2′N,137°16.2′E,13 km,3.9,震度４
2021/06/19,07:39:13.3,愛媛県南予,33°27.6′N,132°30.8′E,42 km,4.7,震度４
2021/06/08,16:59:58.8,熊本県熊本地方,32°39.2′N,130°41.0′E,11 km,3.9,震度４
2021/05/14,20:46:51.2,日高地方中部,42°29.4′N,142°35.6′E,20 km,4.6,震度４
2021/05/14,08:58:14.2,福島県沖,37°41.9′N,141°45.7′E,46 km,6.3,震度４
2021/05/06,09:16:50.6,熊本県熊本地方,32°41.5′N,130°42.5′E,14 km,4.0,震度４
2021/05/01,10:27:26.9,宮城県沖,38°10.4′N,141°44.4′E,51 km,6.8,震度５強
2021/04/21,07:45:23.7,トカラ列島近海,29°22.2′N,129°28.5′E,16 km,4.1,震度４
2021/04/18,09:29:11.2,宮城県沖,38°19.0′N,141°51.8′E,48 km,5.8,震度４
2021/04/18,05:14:34.6,広島県北部,35°00.7′N,132°56.1′E,7 km,3.6,震度４
2021/04/12,23:01:47.6,トカラ列島近海,29°18.0′N,129°20.7′E,14 km,5.3,震度４
2021/04/11,21:00:22.9,トカラ列島近海,29°18.7′N,129°19.6′E,18 km,3.9,震度４
2021/04/11,05:40:36.8,トカラ列島近海,29°19.5′N,129°23.3′E,20 km,4.6,震度４
2021/04/10,16:36:23.4,トカラ列島近海,29°18.5′N,129°16.4′E,21 km,5.1,震度４
2021/04/10,07:07:30.2,トカラ列島近海,29°18.9′N,129°25.4′E,22 km,5.3,震度４
2021/03/20,18:09:44.8,宮城県沖,38°28.0′N,141°37.6′E,59 km,6.9,震度５強
2021/03/17,17:28:49.5,福島県沖,37°41.7′N,141°36.8′E,57 km,5.2,震度４
2021/03/16,04:56:18.1,茨城県南部,36°09.2′N,139°49.1′E,54 km,4.9,震度４
2021/03/15,00:25:59.3,和歌山県北部,34°01.7′N,135°14.8′E,4 km,4.6,震度５弱
2021/03/14,09:22:17.1,熊本県熊本地方,32°38.6′N,130°42.6′E,11 km,4.4,震度４
